ID,ComCode,DataSource,JournalTypeCode,DocNum,PostingGroupKey,PostBatchID,ReferenceTxnID,OrderID,RefNum,TransDate,DocDate,Period,AccountCode,BankAccountNumber,PartnerCode,PartnerTaxID,InputCurr,FncCurr,InputDr,InputCr,XRate,RateType,AccountedDr,AccountedCr,Description,BalanceImpact,IsReversal,ReverseID,IsReval,Segment,AddDate,ModifiedDate
860121,ONTARIO,PAYPAL,PP_HOLD_DISPUTE_INVESTIGATION,ASI-20250130-24824139,NULL,61,7X4110679W229941G,925DZ-250125-DO6OS,925DZ-250125-DO6OS,1/30/2025,1/30/2025,202501,11202051,PAYPAL1,HOLD FOR DISPUTE,NULL,USD,USD,0,"38,08",1,MUL,0,"38,08",Pair 1: Bank vs Contra from Gross | 7X4110679W229941G,Credit,NULL,NULL,NULL,NULL,00:59.3,NULL
860122,ONTARIO,PAYPAL,PP_HOLD_DISPUTE_INVESTIGATION,ASI-20250130-24824139,NULL,61,7X4110679W229941G,925DZ-250125-DO6OS,925DZ-250125-DO6OS,1/30/2025,1/30/2025,202501,11202052,PAYPAL1,HOLD FOR DISPUTE,NULL,USD,USD,"38,08",0,1,MUL,"38,08",0,Pair 1: Bank vs Contra from Gross | 7X4110679W229941G,Debit,NULL,NULL,NULL,NULL,00:59.3,NULL
860123,ONTARIO,PAYPAL,PP_CHARGEBACK,ASI-20250203-24814293,NULL,61,20B12830VH832350H,925DZ-250125-DO6OS,925DZ-250125-DO6OS,2/3/2025,2/3/2025,202502,11202051,PAYPAL1,PAYPAL,NULL,USD,USD,0,"39,98",1,MUL,0,"39,98",Pair 1: Bank vs Contra from Gross | 20B12830VH832350H,Credit,NULL,NULL,NULL,NULL,00:59.3,NULL
860124,ONTARIO,PAYPAL,PP_CHARGEBACK,ASI-20250203-24814293,NULL,61,20B12830VH832350H,925DZ-250125-DO6OS,925DZ-250125-DO6OS,2/3/2025,2/3/2025,202502,13122001,PAYPAL1,PAYPAL,NULL,USD,USD,"39,98",0,1,MUL,"39,98",0,Pair 1: Bank vs Contra from Gross | 20B12830VH832350H,Debit,NULL,NULL,NULL,NULL,00:59.3,NULL
860125,ONTARIO,PAYPAL,PP_CHARGEBACK_FEE,ASI-20250203-24814298,NULL,61,0A933710LY894484X,925DZ-250125-DO6OS,925DZ-250125-DO6OS,2/3/2025,2/3/2025,202502,11202051,PAYPAL1,PAYPAL,NULL,USD,USD,0,20,1,MUL,0,20,Pair 1: Bank vs Contra from Gross | 0A933710LY894484X,Credit,NULL,NULL,NULL,NULL,00:59.3,NULL
860126,ONTARIO,PAYPAL,PP_CHARGEBACK_FEE,ASI-20250203-24814298,NULL,61,0A933710LY894484X,925DZ-250125-DO6OS,925DZ-250125-DO6OS,2/3/2025,2/3/2025,202502,33102005,PAYPAL1,PAYPAL,NULL,USD,USD,20,0,1,MUL,20,0,Pair 1: Bank vs Contra from Gross | 0A933710LY894484X,Debit,NULL,NULL,NULL,NULL,00:59.3,NULL
860127,ONTARIO,PAYPAL,PP_CHARGEBACK_FEE,ASI-20250203-24814300,NULL,61,0A933710LY894484X,925DZ-250125-DO6OS,925DZ-250125-DO6OS,2/3/2025,2/3/2025,202502,33102005,PAYPAL1,PAYPAL,NULL,USD,USD,0,20,1,MUL,0,20,Pair 2: Contra vs Trans from Gross | 0A933710LY894484X,Credit,NULL,NULL,NULL,NULL,00:59.3,NULL
860128,ONTARIO,PAYPAL,PP_CHARGEBACK_FEE,ASI-20250203-24814300,NULL,61,0A933710LY894484X,925DZ-250125-DO6OS,925DZ-250125-DO6OS,2/3/2025,2/3/2025,202502,64202012,PAYPAL1,PAYPAL,NULL,USD,USD,20,0,1,MUL,20,0,Pair 2: Contra vs Trans from Gross | 0A933710LY894484X,Debit,NULL,NULL,NULL,NULL,00:59.3,NULL
860129,ONTARIO,PAYPAL,PP_CANCEL_HOLD_DISPUTE_RESOLUTION,ASI-20250203-24824207,NULL,61,7X4110679W229941G,925DZ-250125-DO6OS,925DZ-250125-DO6OS,2/3/2025,2/3/2025,202502,11202052,PAYPAL1,HOLD FOR DISPUTE,NULL,USD,USD,0,"38,08",1,MUL,0,"38,08",Pair 1: Bank vs Contra from Gross | 7X4110679W229941G,Credit,NULL,NULL,NULL,NULL,00:59.3,NULL
860130,ONTARIO,PAYPAL,PP_CANCEL_HOLD_DISPUTE_RESOLUTION,ASI-20250203-24824207,NULL,61,7X4110679W229941G,925DZ-250125-DO6OS,925DZ-250125-DO6OS,2/3/2025,2/3/2025,202502,11202051,PAYPAL1,HOLD FOR DISPUTE,NULL,USD,USD,"38,08",0,1,MUL,"38,08",0,Pair 1: Bank vs Contra from Gross | 7X4110679W229941G,Debit,NULL,NULL,NULL,NULL,00:59.3,NULL
